match_id,competition_id,season_id,competition_name,season_name,match_date,kick_off,home_team_id,home_team,away_team_id,away_team,home_score,away_score,stadium,referee,source
-129319985687922,,,Bundesliga,2015/2016,2015-08-22,,,Schalke 04,,Darmstadt,1,1,,,football-data
-127392883280750,,,Ligue 1,2015/2016,2015-08-22,,,Lyon,,Rennes,1,2,,,football-data
-124029715106583,,,Ligue 1,2015/2016,2015-08-22,,,Nice,,Caen,2,1,,,football-data
-115851839803786,,,Premier League,2015/2016,2015-08-22,,,Man United,,Newcastle,0,0,,C Pawson,football-data
-91251153151808,,,Ligue 1,2015/2016,2015-08-22,,,Ajaccio GFCO,,Angers,0,2,,,football-data
-82836700463084,,,Bundesliga,2015/2016,2015-08-22,,,Hoffenheim,,Bayern Munich,1,2,,,football-data
-80165172444474,,,Bundesliga,2015/2016,2015-08-22,,,Ein Frankfurt,,Augsburg,1,1,,,football-data
-77868359351792,,,Serie A,2015/2016,2015-08-22,,,Lazio,,Bologna,2,1,,,football-data
-66223662796026,,,La Liga,2015/2016,2015-08-22,,,Espanol,,Getafe,1,0,,,football-data
-51576639918032,,,Premier League,2015/2016,2015-08-22,,,Leicester,,Tottenham,1,1,,M Atkinson,football-data
-48558142875239,,,La Liga,2015/2016,2015-08-22,,,Vallecano,,Valencia,0,0,,,football-data
-43654480975892,,,Premier League,2015/2016,2015-08-22,,,Norwich,,Stoke,1,1,,M Dean,football-data
-18795097181030,,,Bundesliga,2015/2016,2015-08-22,,,Hannover,,Leverkusen,0,1,,,football-data
-17720535993207,,,Premier League,2015/2016,2015-08-22,,,Crystal Palace,,Aston Villa,2,1,,K Stroud,football-data
-11098643609443,,,Serie A,2015/2016,2015-08-22,,,Verona,,Roma,1,1,,,football-data
-10900085586041,,,La Liga,2015/2016,2015-08-22,,,Ath Madrid,,Las Palmas,1,0,,,football-data
-253458609868508,,,Serie A,2015/2016,2015-08-23,,,Inter,,Atalanta,1,0,,,football-data
-249404687996488,,,Premier League,2015/2016,2015-08-23,,,Watford,,Southampton,0,0,,A Marriner,football-data
-241779077493648,,,Serie A,2015/2016,2015-08-23,,,Sampdoria,,Carpi,5,2,,,football-data
-194206186915610,,,Premier League,2015/2016,2015-08-23,,,Everton,,Man City,0,2,,A Taylor,football-data
-194023017263830,,,Ligue 1,2015/2016,2015-08-23,,,Marseille,,Troyes,6,0,,,football-data
-169543997060993,,,Bundesliga,2015/2016,2015-08-23,,,M'gladbach,,Mainz,1,2,,,football-data
-168476015915509,,,Serie A,2015/2016,2015-08-23,,,Fiorentina,,Milan,2,0,,,football-data
-168329747158859,,,Ligue 1,2015/2016,2015-08-23,,,Lorient,,St Etienne,0,1,,,football-data
-150605258464162,,,La Liga,2015/2016,2015-08-23,,,Sp Gijon,,Real Madrid,0,0,,,football-data
-140599920973359,,,La Liga,2015/2016,2015-08-23,,,Ath Bilbao,,Barcelona,0,1,,,football-data
-137470998466239,,,Serie A,2015/2016,2015-08-23,,,Juventus,,Udinese,0,1,,,football-data
-128924880753831,,,La Liga,2015/2016,2015-08-23,,,Betis,,Villarreal,1,1,,,football-data
-101215893272888,,,La Liga,2015/2016,2015-08-23,,,Levante,,Celta,1,2,,,football-data
-93796626012674,,,Ligue 1,2015/2016,2015-08-23,,,Lille,,Bordeaux,0,0,,,football-data
-91799593390387,,,Serie A,2015/2016,2015-08-23,,,Sassuolo,,Napoli,2,1,,,football-data
-70763459463772,,,Serie A,2015/2016,2015-08-23,,,Empoli,,Chievo,1,3,,,football-data
-61741081072000,,,Serie A,2015/2016,2015-08-23,,,Frosinone,,Torino,1,2,,,football-data
-56254709491778,,,Serie A,2015/2016,2015-08-23,,,Palermo,,Genoa,1,0,,,football-data
-52927763901389,,,Bundesliga,2015/2016,2015-08-23,,,Ingolstadt,,Dortmund,0,4,,,football-data
-34486552080666,,,Premier League,2015/2016,2015-08-23,,,West Brom,,Chelsea,2,3,,M Clattenburg,football-data
-126586911073455,,,La Liga,2015/2016,2015-08-24,,,Granada,,Eibar,1,3,,,football-data
-36901218132422,,,Premier League,2015/2016,2015-08-24,,,Arsenal,,Liverpool,0,0,,M Oliver,football-data
-199693479710108,,,La Liga,2015/2016,2015-08-28,,,Villarreal,,Espanol,3,1,,,football-data
-153327936574697,,,Ligue 1,2015/2016,2015-08-28,,,Guingamp,,Marseille,2,0,,,football-data
-118758913315837,,,Bundesliga,2015/2016,2015-08-28,,,Wolfsburg,,Schalke 04,3,0,,,football-data
-277990886871572,,,La Liga,2015/2016,2015-08-29,,,Celta,,Vallecano,3,0,,,football-data
-267758709144108,,,Ligue 1,2015/2016,2015-08-29,,,Caen,,Lyon,0,4,,,football-data
-248930346729328,,,Ligue 1,2015/2016,2015-08-29,,,Rennes,,Toulouse,3,1,,,football-data
-224782401213737,,,Ligue 1,2015/2016,2015-08-29,,,Troyes,,Montpellier,0,0,,,football-data
-219816563622162,,,Premier League,2015/2016,2015-08-29,,,Liverpool,,West Ham,0,3,,K Friend,football-data
-211721108085021,,,Bundesliga,2015/2016,2015-08-29,,,Bayern Munich,,Leverkusen,3,0,,,football-data
-205270819924990,,,La Liga,2015/2016,2015-08-29,,,Real Madrid,,Betis,5,0,,,football-data
-198786669885805,,,Premier League,2015/2016,2015-08-29,,,Man City,,Watford,2,0,,M Clattenburg,football-data
-181432946813256,,,Premier League,2015/2016,2015-08-29,,,Tottenham,,Everton,0,0,,M Jones,football-data
-174713351137260,,,Bundesliga,2015/2016,2015-08-29,,,Stuttgart,,Ein Frankfurt,1,4,,,football-data
-166258606886180,,,Premier League,2015/2016,2015-08-29,,,Chelsea,,Crystal Palace,1,2,,C Pawson,football-data
-143975580724545,,,Serie A,2015/2016,2015-08-29,,,Milan,,Empoli,2,1,,,football-data
-135565279261320,,,Premier League,2015/2016,2015-08-29,,,Newcastle,,Arsenal,0,1,,A Marriner,football-data
-134352055672821,,,La Liga,2015/2016,2015-08-29,,,Barcelona,,Malaga,1,0,,,football-data
-104639420045061,,,Bundesliga,2015/2016,2015-08-29,,,Mainz,,Hannover,3,0,,,football-data
-103625780292909,,,Bundesliga,2015/2016,2015-08-29,,,Darmstadt,,Hoffenheim,0,0,,,football-data
-100394590415794,,,Premier League,2015/2016,2015-08-29,,,Aston Villa,,Sunderland,2,2,,R Madley,football-data
-95410969417851,,,Ligue 1,2015/2016,2015-08-29,,,Lille,,Ajaccio GFCO,1,0,,,football-data
-89724880165200,,,Ligue 1,2015/2016,2015-08-29,,,Reims,,Lorient,4,1,,,football-data
-67877815983678,,,Premier League,2015/2016,2015-08-29,,,Stoke,,West Brom,0,1,,M Oliver,football-data
-60090617089448,,,Serie A,2015/2016,2015-08-29,,,Bologna,,Sassuolo,0,1,,,football-data
-53171441977360,,,Bundesliga,2015/2016,2015-08-29,,,Augsburg,,Ingolstadt,0,1,,,football-data
-27304617845296,,,Ligue 1,2015/2016,2015-08-29,,,Angers,,Nice,1,1,,,football-data
-12182280075237,,,Bundesliga,2015/2016,2015-08-29,,,FC Koln,,Hamburg,2,1,,,football-data
-10219724984786,,,Premier League,2015/2016,2015-08-29,,,Bournemouth,,Leicester,1,1,,N Swarbrick,football-data
-1593223189322,,,La Liga,2015/2016,2015-08-29,,,Sociedad,,Sp Gijon,0,0,,,football-data
-262783345571118,,,Serie A,2015/2016,2015-08-30,,,Atalanta,,Frosinone,2,0,,,football-data
-246371442882417,,,Premier League,2015/2016,2015-08-30,,,Swansea,,Man United,2,1,,M Atkinson,football-data
-238067382245785,,,La Liga,2015/2016,2015-08-30,,,Las Palmas,,Levante,0,0,,,football-data
-236355438570118,,,Ligue 1,2015/2016,2015-08-30,,,Monaco,,Paris SG,0,3,,,football-data
-235384190184225,,,Serie A,2015/2016,2015-08-30,,,Genoa,,Verona,2,0,,,football-data
-224760065062805,,,Premier League,2015/2016,2015-08-30,,,Southampton,,Norwich,3,0,,J Moss,football-data
-207294418555564,,,Ligue 1,2015/2016,2015-08-30,,,Bordeaux,,Nantes,2,0,,,football-data
-201204575404083,,,Ligue 1,2015/2016,2015-08-30,,,St Etienne,,Bastia,2,1,,,football-data
