team_id,team_name,source,source_team_id
FI_TEAM_000183,Pescara,football-data,
FI_TEAM_000184,Osasuna,football-data,
FI_TEAM_000185,Leganes,football-data,
FI_TEAM_000186,Cagliari,football-data,
FI_TEAM_000187,Crotone,football-data,
FI_TEAM_000188,Alaves,football-data,
FI_TEAM_000189,Freiburg,football-data,
FI_TEAM_000190,RB Leipzig,football-data,
FI_TEAM_000191,Amiens,football-data,
FI_TEAM_000192,Brighton,football-data,
FI_TEAM_000193,Strasbourg,football-data,
FI_TEAM_000194,Girona,football-data,
FI_TEAM_000195,Huddersfield,football-data,
FI_TEAM_000196,Benevento,football-data,
FI_TEAM_000197,Spal,football-data,
FI_TEAM_000198,Fulham,football-data,
FI_TEAM_000199,Wolves,football-data,
FI_TEAM_000200,Cardiff,football-data,
FI_TEAM_000201,Nimes,football-data,
FI_TEAM_000202,Parma,football-data,
FI_TEAM_000203,Fortuna Dusseldorf,football-data,
FI_TEAM_000204,Valladolid,football-data,
FI_TEAM_000205,Nurnberg,football-data,
FI_TEAM_000206,Huesca,football-data,
FI_TEAM_000207,Brest,football-data,
FI_TEAM_000208,Mallorca,football-data,
FI_TEAM_000209,Union Berlin,football-data,
FI_TEAM_000210,Sheffield United,football-data,
FI_TEAM_000211,Paderborn,football-data,
FI_TEAM_000212,Lecce,football-data,
FI_TEAM_000213,Brescia,football-data,
FI_TEAM_000214,Lens,football-data,
FI_TEAM_000215,Cadiz,football-data,
FI_TEAM_000216,Leeds,football-data,
FI_TEAM_000217,Bielefeld,football-data,
FI_TEAM_000218,Elche,football-data,
FI_TEAM_000219,Spezia,football-data,
FI_TEAM_000220,Brentford,football-data,
FI_TEAM_000221,Clermont,football-data,
FI_TEAM_000222,Greuther Furth,football-data,
FI_TEAM_000223,Bochum,football-data,
FI_TEAM_000224,Salernitana,football-data,
FI_TEAM_000225,Venezia,football-data,
FI_TEAM_000226,Monza,football-data,
FI_TEAM_000227,Nott'm Forest,football-data,
FI_TEAM_000228,Ajaccio,football-data,
FI_TEAM_000229,Almeria,football-data,
FI_TEAM_000230,Auxerre,football-data,
FI_TEAM_000231,Cremonese,football-data,
FI_TEAM_000232,Le Havre,football-data,
FI_TEAM_000233,Heidenheim,football-data,
FI_TEAM_000234,Luton,football-data,
FI_TEAM_000235,Ipswich,football-data,
FI_TEAM_000236,St Pauli,football-data,
FI_TEAM_000237,Holstein Kiel,football-data,
FI_TEAM_000238,Como,football-data,
FI_TEAM_000239,Oviedo,football-data,
FI_TEAM_000240,Pisa,football-data,
FI_TEAM_000241,Paris FC,football-data,
